cycle,pc,addr,data_out_hex,data_out_dec,data_out_ascii
1,0001,0000,0x41,65,A
2,0010,0001,0x42,66,B
3,0011,0010,0x43,67,C
4,0100,0011,0x44,68,D
5,0101,0100,0x45,69,E
6,0110,0101,0x46,70,F
7,0111,0110,0x47,71,G
8,1000,0111,0x48,72,H
9,1001,1000,0x49,73,I
10,1010,1001,0x4a,74,J
11,1011,1010,0x4b,75,K
12,1100,1011,0x4c,76,L
13,1101,1100,0x4d,77,M
14,1110,1101,0x4e,78,N
15,1111,1110,0x4f,79,O
16,0000,1111,0x50,80,P
17,0001,0000,0x41,65,A
18,0010,0001,0x5a,90,Z
19,0011,0010,0x43,67,C
20,0100,0011,0x44,68,D
